type_code,leak_dist_type,leak_dist_params,LPR,NRd
311,lognorm,"[-2.776, 1.462]",0.0065,365
321,lognorm,"[-2.776, 1.462]",0.0065,365
322,lognorm,"[-2.776, 1.462]",0.0065,365
331,lognorm,"[-2.776, 1.462]",0.0065,365
342,lognorm,"[-2.776, 1.462]",0.0065,365
344,lognorm,"[-2.776, 1.462]",0.0065,365
351,lognorm,"[-2.776, 1.462]",0.0065,365
361,lognorm,"[-2.776, 1.462]",0.0065,365
362,lognorm,"[-2.776, 1.462]",0.0065,365
401,lognorm,"[-2.776, 1.462]",0.0065,365
402,lognorm,"[-2.776, 1.462]",0.0065,365
501,lognorm,"[-2.776, 1.462]",0.0065,365
502,lognorm,"[-2.776, 1.462]",0.0065,365
503,lognorm,"[-2.776, 1.462]",0.0065,365
504,lognorm,"[-2.776, 1.462]",0.0065,365
506,lognorm,"[-2.776, 1.462]",0.0065,365
601,lognorm,"[-2.776, 1.462]",0.0065,365
611,lognorm,"[-2.776, 1.462]",0.0065,365
621,lognorm,"[-2.776, 1.462]",0.0065,365
999,lognorm,"[-2.776, 1.462]",0.0065,365
