,program_name,ts,daily_emissions_kg,active_leaks,sim
0,P_OGI_L01_N120,912.0,406.63160947478167,139.622301369863,4.5
1,P_OGI_L01_N240,912.0,568.831588736647,255.47150684931506,4.5
2,P_OGI_L01_N360,912.0,702.0233035298144,368.5818082191781,4.5
3,P_OGI_L05_N120,912.0,2038.3452890497929,693.7460821917808,4.5
4,P_OGI_L05_N240,912.0,2802.972640642051,1274.4080547945205,4.5
5,P_OGI_L05_N360,912.0,3549.8740094576247,1859.0122191780822,4.5
6,P_OGI_L10_N120,912.0,4146.6836551200295,1392.3807123287672,4.5
7,P_OGI_L10_N240,912.0,5633.185294354322,2548.745479452055,4.5
8,P_OGI_L10_N360,912.0,7055.511836073983,3712.1493150684933,4.5
